model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.95%;maximize_distance;309.67;2.15ms;0.56ms;6.29ms;0.85ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-ebaab084-3edb-43d0-b508-02ed7b03bc7f/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;1.55%;maximize_distance;5.00;7.99ms;0.39ms;8.76ms;7.71ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-6edf3389-a6cb-4f59-9c4c-f88d6fba6b0e/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.85%;maximize_distance;57.86;3.73ms;1.15ms;6.17ms;0.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-132dc241-7624-4960-87bf-21c9cd8320a6/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;11.42%;maximize_distance;6.97;9.22ms;0.82ms;10.83ms;8.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-cfd38f86-34e4-4328-b945-f88924279bb0/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;41.69%;maximize_distance;23.23;2.66ms;0.33ms;3.52ms;2.02ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-13be6c61-80f1-447b-964d-3e9902f357a0/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;49.13%;maximize_distance;27.37;8.85ms;0.69ms;11.10ms;8.18ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-9647e84c-c0e6-42db-8deb-3c3bf8b02306/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.67%;maximize_distance;21.80;2.67ms;0.20ms;3.13ms;2.28ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-6e394909-bb57-41d6-a7d2-a427f868e325/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.91%;maximize_distance;22.40;9.11ms;0.73ms;11.11ms;8.06ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-d11112a1-471d-4430-bba3-3d915fdb5aee/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;13.26%;maximize_distance;25.16;3.34ms;0.42ms;4.42ms;2.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-9f4b981d-7a98-453c-a0ba-6eb402a194d1/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;1.05%;maximize_distance;2.00;8.11ms;0.15ms;8.26ms;7.97ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-3030e980-a28a-4340-a02e-8a96ae038f70/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.83%;maximize_distance;172.49;2.66ms;0.40ms;4.49ms;1.45ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-2af05b24-65a9-4fc6-9bbf-adf741e1449b/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.85%;maximize_distance;172.53;8.67ms;2.44ms;23.61ms;4.23ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-e775e8bc-82b5-4641-a826-30f0300dbd72/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.89%;maximize_distance;225.93;3.23ms;0.56ms;4.50ms;0.86ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-220d28f9-ff93-4b47-8d14-0b7507167f79/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;10.85%;maximize_distance;25.56;8.53ms;0.33ms;9.26ms;8.12ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-5beba870-4b4d-4b22-b022-66b04f914a68/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;27.45%;maximize_distance;27.97;3.17ms;0.70ms;4.78ms;2.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-1501fed8-0950-4fb3-83a9-9c783f14084e/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;40.90%;maximize_distance;41.67;8.55ms;0.43ms;9.86ms;8.01ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-1885232b-56a4-4b26-8388-853f55ac7be8/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-dc1f964d-5e7a-47b5-af6f-eff53272126f/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;8.91%;maximize_distance;28.76;8.53ms;0.29ms;9.25ms;8.17ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-63a95d4f-856e-4b1d-b9df-4a30630c0334/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;42.75%;maximize_distance;26.08;4.39ms;1.50ms;9.52ms;3.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-e5ee5dd4-6d80-4178-8d3d-6679750c8cd3/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;23.22%;maximize_distance;14.16;9.74ms;0.62ms;10.93ms;8.96ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-bf9138c9-c193-4615-9fbe-6b5e6ce1bd4b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.23%;maximize_distance;22.41;2.47ms;0.15ms;2.66ms;2.17ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-65927e58-9374-400c-8775-e780af49ac3f/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;13.49%;maximize_distance;7.52;8.27ms;0.20ms;8.44ms;7.92ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-b8c2da53-756d-4a68-a87c-ee4b635768d6/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.96%;maximize_distance;21.45;2.35ms;0.23ms;2.81ms;2.02ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-42788e0f-3e53-4d43-a7d2-f40df76b7c12/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-7050a51e-5a77-4ffe-a478-bd306b5cd704/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-5fb4f34b-4a16-47ef-98f2-650358d74b17/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;9.22%;maximize_distance;17.50;9.65ms;0.82ms;10.90ms;8.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-d5bf846b-3219-49e6-8d12-027b595a2899/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.97%;minimize_offset_from_reference_path;-9068.00;3.04ms;0.67ms;10.02ms;1.19ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-084c07f2-e9fe-42b8-960f-ca01a38c1d75/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.97%;minimize_offset_from_reference_path;-8581.80;6.55ms;0.69ms;12.74ms;3.85ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-716220b6-adfb-4667-9a0b-4e799f5e086c/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.98%;minimize_offset_from_reference_path;-10346.77;2.94ms;1.08ms;26.84ms;0.69ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-75aecb59-7455-4d90-a841-67fea2938ed1/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.98%;minimize_offset_from_reference_path;-9512.99;6.40ms;0.66ms;16.02ms;1.25ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-94355b95-5ec0-4ce1-8dd5-300e04851c43/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.94%;minimize_offset_from_reference_path;-4331.84;2.85ms;0.39ms;6.77ms;1.42ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-f11280b8-c8b9-40e3-891e-c5c87dce26e0/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;73.57%;minimize_offset_from_reference_path;-2877.59;6.71ms;0.89ms;14.99ms;6.16ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-5183a5bf-4fcf-48ab-aae9-c77b7176a1b0/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;9.67%;minimize_offset_from_reference_path;-1513.91;3.27ms;0.75ms;9.61ms;2.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-a040f224-c5d4-4a57-a8a3-5ac92319c87c/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;26.44%;minimize_offset_from_reference_path;-2923.41;7.29ms;2.61ms;28.95ms;6.16ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-afcf9cd3-bf1f-4450-974f-8386c1dafdf1/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;95.01%;minimize_offset_from_reference_path;-2160.78;3.96ms;1.12ms;8.62ms;1.60ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-2afce1ec-af23-4422-91aa-212f67da8ec2/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;77.92%;minimize_offset_from_reference_path;-1271.45;9.31ms;2.19ms;19.49ms;6.68ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-355f16fa-e978-4d9c-bf95-e6b2d1cd8b51/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;94.49%;minimize_offset_from_reference_path;-2336.73;3.34ms;2.01ms;18.34ms;1.29ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-cfa3fafb-6e7a-4958-85e5-6760012770e9/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;69.59%;minimize_offset_from_reference_path;-1712.39;9.16ms;5.69ms;53.91ms;6.44ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-2b5fe5cb-1b89-4099-8ba4-d56dcdd5fc4c/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.99%;minimize_offset_from_reference_path;-1136.94;4.25ms;1.34ms;8.77ms;3.07ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-82457f48-8006-4df9-a056-a4de16f311b7/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;36.71%;minimize_offset_from_reference_path;-878.23;9.72ms;5.27ms;42.37ms;7.18ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-14ccb87c-b02b-429a-934e-132de8fe68e5/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;14.19%;minimize_offset_from_reference_path;-1702.39;3.72ms;0.76ms;7.62ms;3.06ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-91916da5-f9b9-4a5f-b424-ea563e78700e/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;11.34%;minimize_offset_from_reference_path;-950.61;8.36ms;0.91ms;12.39ms;7.53ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-9fc80199-a909-48e8-9332-c5e0ede89cdb/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.96%;minimize_offset_from_reference_path;-4654.00;3.04ms;0.61ms;6.37ms;1.42ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-9a415ac5-8f02-4aa0-b5be-e922d4c76960/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.95%;minimize_offset_from_reference_path;-4463.47;6.64ms;1.13ms;17.29ms;2.34ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-8c7fcd24-19be-47d7-923c-d28777491737/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.96%;minimize_offset_from_reference_path;-3265.84;3.49ms;1.60ms;26.40ms;1.01ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-6369bf13-514d-4b08-9545-d265cf3c8097/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.96%;minimize_offset_from_reference_path;-4123.77;6.62ms;0.90ms;13.01ms;1.93ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-87605730-fc66-420b-bb09-c4db5c87d058/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.89%;minimize_offset_from_reference_path;-1890.94;2.35ms;0.39ms;3.54ms;1.08ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-a6227889-3bad-4043-93ea-4e20803564ea/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;69.74%;minimize_offset_from_reference_path;-1392.83;6.65ms;0.34ms;7.84ms;6.24ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-87df1201-c022-474c-97d9-594a4fe85355/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.98%;minimize_offset_from_reference_path;-3880.28;2.15ms;1.04ms;23.05ms;0.86ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-9d0fc9f7-5919-4638-8679-1c66c34b3b87/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;13.68%;minimize_offset_from_reference_path;-896.40;6.67ms;0.38ms;8.03ms;6.21ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-56d5d82e-9168-483c-9ad7-c5e3c163e93b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.94%;minimize_offset_from_reference_path;-872.80;3.84ms;0.99ms;5.98ms;1.43ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-fa21b553-e58c-4760-93d2-f13e67b76e78/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;43.94%;minimize_offset_from_reference_path;-380.45;8.74ms;2.07ms;19.46ms;7.18ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-741e125a-4b49-4c5a-b0fa-18559ab77d72/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;42.17%;minimize_offset_from_reference_path;-585.77;2.87ms;0.16ms;3.33ms;2.61ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-5c131be3-c57f-4051-9e48-4cf5b27aee6d/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;75.39%;minimize_offset_from_reference_path;-892.83;7.47ms;1.08ms;9.39ms;5.59ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-37d777af-5a27-4846-939b-6d004599d2a9/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.21%;minimize_offset_from_reference_path;-551.87;2.86ms;0.12ms;3.18ms;2.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-6ab3fc23-ba75-4540-ace2-7c7c60232e50/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;40.78%;minimize_offset_from_reference_path;-418.26;8.72ms;0.87ms;11.60ms;7.49ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-4c677dad-cb1c-4c2d-ad1b-907b98c98512/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;10.20%;minimize_offset_from_reference_path;-392.16;2.95ms;0.26ms;3.89ms;2.66ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-98f38f03-6eff-4db5-9c7e-b45e7da4aab9/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;11.74%;minimize_offset_from_reference_path;-510.24;7.09ms;0.25ms;7.74ms;6.76ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-4f2bf1a8-9f4a-41e6-ad7c-73b77b28702b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.92%;minimize_offset_from_reference_path;-2242.00;2.63ms;0.35ms;3.29ms;0.69ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-b3cb089d-f252-4335-ab93-4f28b1e2aa77/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.90%;minimize_offset_from_reference_path;-2328.85;6.62ms;1.21ms;12.93ms;2.40ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-4b7f38a8-5435-47f6-9d6d-4219939296fc/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.90%;minimize_offset_from_reference_path;-957.66;3.04ms;0.34ms;4.31ms;1.73ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-4f287d17-de5e-4e66-b50e-f69d4161b0dc/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;15.65%;minimize_offset_from_reference_path;-275.44;8.69ms;1.03ms;12.49ms;7.17ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-ea3a0943-2df6-4ae0-aadb-245ad690024a/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;25.75%;minimize_offset_from_reference_path;-274.58;2.94ms;0.39ms;3.99ms;2.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-84b52308-2a4e-4160-a363-e5b29774ce81/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;49.16%;minimize_offset_from_reference_path;-520.77;7.72ms;0.94ms;9.45ms;6.49ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-2808f9d0-dcef-41c4-94c0-df2d75aed281/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;minimize_offset_from_reference_path;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-75572770-dc2a-4497-9582-a57bee3526c5/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;10.03%;minimize_offset_from_reference_path;-345.99;8.10ms;1.00ms;9.72ms;6.68ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-ad29bb00-f509-4c3f-afa9-b8a90b027dba/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;42.72%;minimize_offset_from_reference_path;-202.25;4.70ms;0.98ms;7.11ms;3.47ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-7b95a658-f633-4af8-a4d2-6bf08fa782e6/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;23.22%;minimize_offset_from_reference_path;-85.64;10.21ms;0.55ms;11.31ms;9.48ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-0d96226b-e54b-4e85-a2ba-325ac7f50e68/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.42%;minimize_offset_from_reference_path;-275.37;3.03ms;0.31ms;3.97ms;2.68ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-d907c8f8-d4e4-4ddb-8f2d-23c9ff6a9938/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;13.49%;minimize_offset_from_reference_path;-80.00;8.64ms;0.23ms;8.91ms;8.40ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-a22dc018-ab9d-466a-b7c3-cfa5fdbbe30b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.63%;minimize_offset_from_reference_path;-258.76;2.91ms;0.43ms;4.14ms;2.44ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-d2e218e0-18c5-4bea-85f9-a8c6b78f360d/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;minimize_offset_from_reference_path;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-db4775bd-104a-4cf0-8b62-5ffa5dbf7ce8/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;minimize_offset_from_reference_path;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-ed916345-e64d-476d-8bd6-ec5cae070785/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;9.22%;minimize_offset_from_reference_path;-151.69;9.36ms;0.74ms;10.57ms;8.52ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-d86ab95e-acb0-4825-b201-74d4cc87744e/stats.pdf""; ""Stats"")"
