model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.83%;maximize_distance;309.29;8.02ms;1.28ms;12.21ms;1.25ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-c1173ddd-a7b8-4600-b114-a125c461cf2d/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.05%;maximize_distance;57.37;2.85ms;0.75ms;4.15ms;0.90ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-44c7d219-e298-4b8e-b578-9818976d80f8/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;28.20%;maximize_distance;17.20;9.82ms;0.62ms;10.70ms;8.81ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-53df2d49-52ba-4f8f-b12a-ee5ab21a8aee/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.24%;maximize_distance;22.42;2.39ms;0.27ms;3.02ms;2.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-3cdd0b07-259f-46c2-a922-5e44afe1ce01/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;27.93%;maximize_distance;15.56;7.36ms;0.24ms;7.65ms;6.91ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-0c6a4115-e2e7-4421-9ff6-496f2799e302/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.33%;maximize_distance;21.14;2.15ms;0.22ms;2.50ms;1.67ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-fbb9f7e6-a54c-4050-8cb3-6095835304e8/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-2f144f47-2bf5-4790-8238-c7d1edda4540/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-1888161f-598a-4481-98f0-1bba5ac81864/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;9.21%;maximize_distance;17.48;9.74ms;0.60ms;10.57ms;8.93ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-dc211240-5ad9-45d3-9883-fc480170d62f/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.93%;minimize_offset_from_reference_path;-4238.00;2.77ms;0.32ms;5.13ms;1.02ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-60252b7e-5603-41f8-b581-3771d20aea1e/stats.pdf""; ""Stats"")"
